Human.Gene,Uniprot ID,Protein Name,Protein Description,Bulk_avg_abundance,Vessel_avg_abundance,Differentially expressed?,logFC (Vessel vs. Bulk),P.Value (Vessel vs. Bulk),adj.P.Value (Vessel vs. Bulk)
CLEC2L,P0C7M8,CLC2L_HUMAN,C-type lectin domain family 2 member L,4556256.119,427453.6566,Bulk enriched,-3.87,4.87104E-05,0.283
DDT,P30046,DOPD_HUMAN,D-dopachrome decarboxylase,14202051.23,1075110.094,Bulk enriched,-3.89,7.11025E-06,0.179
PEBP1,P30086,PEBP1_HUMAN,Phosphatidylethanolamine-binding protein 1,382597228.9,28169125.8,Bulk enriched,-3.91,1.6532E-06,0.0987
CBR1,P16152,CBR1_HUMAN,Carbonyl reductase [NADPH] 1,163408931.2,12734475.61,Bulk enriched,-3.91,2.72163E-05,0.271
KCNA1,Q09470,KCNA1_HUMAN,Potassium voltage-gated channel subfamily A member 1,10144139.95,704863.378,Bulk enriched,-3.92,2.3091E-06,0.0854
HINT1,P49773,HINT1_HUMAN,Adenosine 5'-monophosphoramidase HINT1,30764373.51,2063607.74,Bulk enriched,-3.92,4.09705E-06,0.12
ALDOC,P09972,ALDOC_HUMAN,Fructose-bisphosphate aldolase C,185858780.6,13852766.45,Bulk enriched,-3.93,2.863E-06,0.133
DPYSL4,O14531,DPYL4_HUMAN,Dihydropyrimidinase-related protein 4,21207091.61,1413074.703,Bulk enriched,-3.94,9.5189E-07,0.0403
RIDA,P52758,RIDA_HUMAN,2-iminobutanoate/2-iminopropanoate deaminase,8705895.499,533345.7763,Bulk enriched,-3.94,2.303E-05,0.228
ERMN,Q8TAM6,ERMIN_HUMAN,Ermin,43042945.07,2758883.085,Bulk enriched,-3.96,1.00093E-05,0.171
CRMP1,Q14194,DPYL1_HUMAN,Dihydropyrimidinase-related protein 1,107527450.9,7499099.592,Bulk enriched,-3.97,1.10519E-06,0.0795
PHYHIPL,Q96FC7,PHIPL_HUMAN,Phytanoyl-CoA hydroxylase-interacting protein-like,33375417.09,2434971.891,Bulk enriched,-3.98,4.93373E-06,0.162
HSPA1L,P34931,HS71L_HUMAN,Heat shock 70 kDa protein 1-like,2397464.746,141501.2047,Bulk enriched,-4.04,0.000168166,0.308
CARMIL2,Q6F5E8,CARL2_HUMAN,"Capping protein, Arp2/3 and myosin-I linker protein 2",3556766.873,212598.5539,Bulk enriched,-4.05,0.000113738,0.28
FMN2,Q9NZ56,FMN2_HUMAN,Formin-2,2128832.585,124967.7135,Bulk enriched,-4.07,0.000128422,0.289
ARK2N,Q96B23,ARK2N_HUMAN,Protein ARK2N,318316.2413,18524.22375,Bulk enriched,-4.08,0.000125539,0.288
ACYP2,P14621,ACYP2_HUMAN,Acylphosphatase-2,13587980.89,888794.9426,Bulk enriched,-4.12,4.33286E-06,0.156
DPYSL3,Q14195,DPYL3_HUMAN,Dihydropyrimidinase-related protein 3,51207754.85,3563423.386,Bulk enriched,-4.12,6.82113E-06,0.177
GOT1,P17174,AATC_HUMAN,"Aspartate aminotransferase, cytoplasmic",80920475.25,5103181.334,Bulk enriched,-4.16,1.63585E-06,0.0983
UBE2V2,Q15819,UB2V2_HUMAN,Ubiquitin-conjugating enzyme E2 variant 2,30845389.65,1988374.983,Bulk enriched,-4.18,5.43972E-06,0.167
BIN1,O00499,BIN1_HUMAN,Myc box-dependent-interacting protein 1,119326807.2,8247071.772,Bulk enriched,-4.2,7.16276E-05,0.337
MOBP,Q13875,MOBP_HUMAN,Myelin-associated oligodendrocyte basic protein,12880626.05,1232991.333,Bulk enriched,-4.2,0.000461702,0.479
INPP5J,Q15735,PI5PA_HUMAN,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",3033660.266,147172.1389,Bulk enriched,-4.24,0.000403809,0.403
ANLN,Q9NQW6,ANLN_HUMAN,Anillin,14685722.82,772654.4326,Bulk enriched,-4.25,1.24267E-05,0.182
NRCAM,Q92823,NRCAM_HUMAN,Neuronal cell adhesion molecule,37262206.09,2044544.977,Bulk enriched,-4.26,2.47089E-07,0.0211
TPPP3,Q9BW30,TPPP3_HUMAN,Tubulin polymerization-promoting protein family member 3,30525847.38,1746681.253,Bulk enriched,-4.26,2.28637E-05,0.259
TPPP,O94811,TPPP_HUMAN,Tubulin polymerization-promoting protein,201018854.1,12145570.07,Bulk enriched,-4.27,5.44213E-06,0.167
MAP6,Q96JE9,MAP6_HUMAN,Microtubule-associated protein 6,37855467.25,2056379.188,Bulk enriched,-4.29,2.18838E-07,0.0191
MOG,Q16653,MOG_HUMAN,Myelin-oligodendrocyte glycoprotein,615525273,38195813.99,Bulk enriched,-4.32,8.09737E-06,0.185
COL3A1,P02461,CO3A1_HUMAN,Collagen alpha-1(III) chain,17002432.58,2867969.911,Not differentially expressed,-4.32,0.05773113,0.833
OPALIN,Q96PE5,OPALI_HUMAN,Opalin,22623966.22,1171821.422,Bulk enriched,-4.35,1.18735E-06,0.0506
CADM4,Q8NFZ8,CADM4_HUMAN,Cell adhesion molecule 4,48533657.06,2350686.494,Bulk enriched,-4.37,1.75346E-06,0.0708
TRPC3,Q13507,TRPC3_HUMAN,Short transient receptor potential channel 3,3861176.787,263338.1624,Bulk enriched,-4.37,0.005552888,0.635
SLC39A12,Q504Y0,S39AC_HUMAN,Zinc transporter ZIP12,1049362.206,48538.35574,Bulk enriched,-4.39,1.68961E-05,0.17
PSAT1,Q9Y617,SERC_HUMAN,Phosphoserine aminotransferase,35396154.14,1936933.696,Bulk enriched,-4.42,1.68282E-06,0.0995
PGM2L1,Q6PCE3,PGM2L_HUMAN,"Glucose 1,6-bisphosphate synthase",21269669.26,1092765.745,Bulk enriched,-4.51,1.54212E-06,0.0956
BCAS1,O75363,BCAS1_HUMAN,Breast carcinoma-amplified sequence 1,76620017.77,2694778.98,Bulk enriched,-4.54,1.43302E-05,0.192
CDC42SE2,Q9NRR3,C42S2_HUMAN,CDC42 small effector protein 2,6015204.289,237311.3687,Bulk enriched,-4.55,0.000159587,0.304
PHYHD1,Q5SRE7,PHYD1_HUMAN,Phytanoyl-CoA dioxygenase domain-containing protein 1,1341804.545,54491.58968,Bulk enriched,-4.58,6.47551E-05,0.231
MAP6D1,Q9H9H5,MA6D1_HUMAN,MAP6 domain-containing protein 1,9275527.648,442706.7876,Bulk enriched,-4.6,1.02362E-05,0.172
CACNG8,Q8WXS5,CCG8_HUMAN,Voltage-dependent calcium channel gamma-8 subunit,2129717.543,82189.99671,Bulk enriched,-4.62,9.97663E-05,0.269
MIF,P14174,MIF_HUMAN,Macrophage migration inhibitory factor,139387203.2,4315644.373,Bulk enriched,-5.21,2.40368E-06,0.122
MAG,P20916,MAG_HUMAN,Myelin-associated glycoprotein,148092963.2,4414005.029,Bulk enriched,-5.34,7.97637E-06,0.185
MPDZ,O75970,MPDZ_HUMAN,Multiple PDZ domain protein,2943200.381,60016.46471,Bulk enriched,-5.59,1.03362E-05,0.0943
SPAST,Q9UBP0,SPAST_HUMAN,Spastin,948119.4082,18524.22375,Bulk enriched,-5.66,7.69307E-06,0.0759
PNMA6F,A0A0J9YX94,PMA6F_HUMAN,Paraneoplastic antigen Ma6F,356743.9208,,Bulk unique,,,
FOXO3B,A0A2Z4LIS9,FXO3B_HUMAN,Forkhead box protein O3B,96441.18041,,Bulk unique,,,
ELOVL7,A1L3X0,ELOV7_HUMAN,Very long chain fatty acid elongase 7,,799941.8413,Vessel unique,,,
FRMD3,A2A2Y4,FRMD3_HUMAN,FERM domain-containing protein 3,,375675.1544,Vessel unique,,,
TESPA1,A2RU30,TESP1_HUMAN,Protein TESPA1,479961.9373,,Bulk unique,,,
HYKK,A2RU49,HYKK_HUMAN,Hydroxylysine kinase,91676.92231,,Bulk unique,,,
TYW5,A2RUC4,TYW5_HUMAN,tRNA wybutosine-synthesizing protein 5,385602.8904,,Bulk unique,,,
VPS37C,A5D8V6,VP37C_HUMAN,Vacuolar protein sorting-associated protein 37C,68129.90427,,Bulk unique,,,
RCCD1,A6NED2,RCCD1_HUMAN,RCC1 domain-containing protein 1,452821.8215,,Bulk unique,,,
TMEM235,A6NFC5,TM235_HUMAN,Transmembrane protein 235,319180.9836,,Bulk unique,,,
WIPF3,A6NGB9,WIPF3_HUMAN,WAS/WASL-interacting protein family member 3,2321827.792,,Bulk unique,,,
ARHGAP42,A6NI28,RHG42_HUMAN,Rho GTPase-activating protein 42,,571366.0119,Vessel unique,,,
WTIP,A6NIX2,WTIP_HUMAN,Wilms tumor protein 1-interacting protein,,167821.1425,Vessel unique,,,
TMEM88B,A6NKF7,TM88B_HUMAN,Transmembrane protein 88B,615064.1815,,Bulk unique,,,
VSTM2B,A6NLU5,VTM2B_HUMAN,V-set and transmembrane domain-containing protein 2B,704897.922,,Bulk unique,,,
SHISA9,B4DS77,SHSA9_HUMAN,Protein shisa-9,564712.0978,,Bulk unique,,,
AJM1,C9J069,AJM1_HUMAN,Apical junction component 1 homolog,346103.2434,,Bulk unique,,,
KCNK1,O00180,KCNK1_HUMAN,Potassium channel subfamily K member 1,340597.8566,,Bulk unique,,,
SULT2B1,O00204,ST2B1_HUMAN,Sulfotransferase 2B1,,1862933.082,Vessel unique,,,
SIRPB1,O00241,SIRB1_HUMAN,Signal-regulatory protein beta-1,261902.5015,,Bulk unique,,,
TAF4,O00268,TAF4_HUMAN,Transcription initiation factor TFIID subunit 4,,216653.1148,Vessel unique,,,
CCRL2,O00421,CCRL2_HUMAN,C-C chemokine receptor-like 2,,2038695.137,Vessel unique,,,
DLGAP1,O14490,DLGP1_HUMAN,Disks large-associated protein 1,620307.1135,,Bulk unique,,,
ADGRB1,O14514,AGRB1_HUMAN,Adhesion G protein-coupled receptor B1,814522.609,,Bulk unique,,,
FCHO1,O14526,FCHO1_HUMAN,F-BAR domain only protein 1,2338170.017,,Bulk unique,,,
CYB561D2,O14569,C56D2_HUMAN,Transmembrane reductase CYB561D2,,624107.9234,Vessel unique,,,
ABCD4,O14678,ABCD4_HUMAN,Lysosomal cobalamin transporter ABCD4,,277088.0113,Vessel unique,,,
PTGES,O14684,PTGES_HUMAN,Prostaglandin E synthase,,4989976.379,Vessel unique,,,
UBE2L6,O14933,UB2L6_HUMAN,Ubiquitin/ISG15-conjugating enzyme E2 L6,349292.7553,,Bulk unique,,,
CASQ2,O14958,CASQ2_HUMAN,Calsequestrin-2,,2625089.575,Vessel unique,,,
RAB29,O14966,RAB7L_HUMAN,Ras-related protein Rab-7L1,,1285623.591,Vessel unique,,,
ERC2,O15083,ERC2_HUMAN,ERC protein 2,592790.2914,,Bulk unique,,,
CTDSPL,O15194,CTDSL_HUMAN,CTD small phosphatase-like protein,,114871.976,Vessel unique,,,
EPHB6,O15197,EPHB6_HUMAN,Ephrin type-B receptor 6,243048.1752,,Bulk unique,,,
WDR46,O15213,WDR46_HUMAN,WD repeat-containing protein 46,,234911.1952,Vessel unique,,,
CASC3,O15234,CASC3_HUMAN,Protein CASC3,42148.55523,,Bulk unique,,,
LEPROT,O15243,OBRG_HUMAN,Leptin receptor gene-related protein,,119817.5316,Vessel unique,,,
SLC16A4,O15374,MOT5_HUMAN,Monocarboxylate transporter 5,,1134327.81,Vessel unique,,,
NVL,O15381,NVL_HUMAN,Nuclear valosin-containing protein-like,,148361.5581,Vessel unique,,,
P4HA2,O15460,P4HA2_HUMAN,Prolyl 4-hydroxylase subunit alpha-2,,583816.5595,Vessel unique,,,
GYG2,O15488,GLYG2_HUMAN,Glycogenin-2,911590.2699,,Bulk unique,,,
SLC7A4,O43246,CTR4_HUMAN,Cationic amino acid transporter 4,310640.6118,,Bulk unique,,,
EFS,O43281,EFS_HUMAN,Embryonal Fyn-associated substrate,538717.5568,,Bulk unique,,,
ADCY6,O43306,ADCY6_HUMAN,Adenylate cyclase type 6,,236288.7105,Vessel unique,,,
PPIP5K2,O43314,VIP2_HUMAN,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,254189.6508,,Bulk unique,,,
THAP12,O43422,P52K_HUMAN,52 kDa repressor of the inhibitor of the protein kinase,,95577.81906,Vessel unique,,,
PROM1,O43490,PROM1_HUMAN,Prominin-1,,2230157.359,Vessel unique,,,
ATP8B1,O43520,AT8B1_HUMAN,Phospholipid-transporting ATPase IC,,231317.9686,Vessel unique,,,
KCNQ2,O43526,KCNQ2_HUMAN,Potassium voltage-gated channel subfamily KQT member 2,702926.8974,,Bulk unique,,,
AKAP10,O43572,AKA10_HUMAN,"A-kinase anchor protein 10, mitochondrial",,76868.98819,Vessel unique,,,
SPRY2,O43597,SPY2_HUMAN,Protein sprouty homolog 2,504145.1588,,Bulk unique,,,
DCX,O43602,DCX_HUMAN,Neuronal migration protein doublecortin,843589.7577,,Bulk unique,,,
RGS10,O43665,RGS10_HUMAN,Regulator of G-protein signaling 10,370248.4774,,Bulk unique,,,
URB1,O60287,NPA1P_HUMAN,Nucleolar pre-ribosomal-associated protein 1,,86254.71367,Vessel unique,,,
LZTS3,O60299,LZTS3_HUMAN,Leucine zipper putative tumor suppressor 3,1429688.81,,Bulk unique,,,
TBC1D12,O60347,TBC12_HUMAN,TBC1 domain family member 12,338376.3094,,Bulk unique,,,
FZD6,O60353,FZD6_HUMAN,Frizzled-6,,958909.4312,Vessel unique,,,
CACNG3,O60359,CCG3_HUMAN,Voltage-dependent calcium channel gamma-3 subunit,2260748.588,,Bulk unique,,,
PRMT3,O60678,ANM3_HUMAN,Protein arginine N-methyltransferase 3,688465.8711,,Bulk unique,,,
SRPX2,O60687,SRPX2_HUMAN,Sushi repeat-containing protein SRPX2,,446296.631,Vessel unique,,,
IGSF3,O75054,IGSF3_HUMAN,Immunoglobulin superfamily member 3,282088.7765,,Bulk unique,,,
TMCC2,O75069,TMCC2_HUMAN,Transmembrane and coiled-coil domains protein 2,350913.9325,,Bulk unique,,,
N4BP1,O75113,N4BP1_HUMAN,NEDD4-binding protein 1,413903.9268,,Bulk unique,,,
ADAMTS4,O75173,ATS4_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 4,194017.3831,,Bulk unique,,,
PPFIA4,O75335,LIPA4_HUMAN,Liprin-alpha-4,437820.3121,,Bulk unique,,,
ENTPD6,O75354,ENTP6_HUMAN,Ectonucleoside triphosphate diphosphohydrolase 6,500750.9458,,Bulk unique,,,
SLC43A1,O75387,LAT3_HUMAN,Large neutral amino acids transporter small subunit 3,,514087.8993,Vessel unique,,,
SAP30,O75446,SAP30_HUMAN,Histone deacetylase complex subunit SAP30,,150140.2778,Vessel unique,,,
TADA3,O75528,TADA3_HUMAN,Transcriptional adapter 3,,111283.6929,Vessel unique,,,
WBP4,O75554,WBP4_HUMAN,WW domain-binding protein 4,402125.1345,,Bulk unique,,,
STX11,O75558,STX11_HUMAN,Syntaxin-11,,970279.0422,Vessel unique,,,
ITGA10,O75578,ITA10_HUMAN,Integrin alpha-10,,538783.2589,Vessel unique,,,
MED6,O75586,MED6_HUMAN,Mediator of RNA polymerase II transcription subunit 6,,380041.3654,Vessel unique,,,
REM1,O75628,REM1_HUMAN,GTP-binding protein REM 1,,144518.5482,Vessel unique,,,
TOM1L1,O75674,TM1L1_HUMAN,TOM1-like protein 1,283218.4228,,Bulk unique,,,
SCRG1,O75711,SCRG1_HUMAN,Scrapie-responsive protein 1,253828.2935,,Bulk unique,,,
SLC22A3,O75751,S22A3_HUMAN,Solute carrier family 22 member 3,,1932872.898,Vessel unique,,,
DGKI,O75912,DGKI_HUMAN,Diacylglycerol kinase iota,212905.8363,,Bulk unique,,,
SASH3,O75995,SASH3_HUMAN,SAM and SH3 domain-containing protein 3,593578.4724,,Bulk unique,,,
ZFAND5,O76080,ZFAN5_HUMAN,AN1-type zinc finger protein 5,502401.4265,,Bulk unique,,,
RGS20,O76081,RGS20_HUMAN,Regulator of G-protein signaling 20,213332.9137,,Bulk unique,,,
CDK14,O94921,CDK14_HUMAN,Cyclin-dependent kinase 14,380458.5812,,Bulk unique,,,
SLITRK5,O94991,SLIK5_HUMAN,SLIT and NTRK-like protein 5,472410.7334,,Bulk unique,,,
HEXIM1,O94992,HEXI1_HUMAN,Protein HEXIM1,321888.3769,,Bulk unique,,,
AKR7A3,O95154,ARK73_HUMAN,Aflatoxin B1 aldehyde reductase member 3,904939.4334,,Bulk unique,,,
NXPH3,O95157,NXPH3_HUMAN,Neurexophilin-3,417012.9269,,Bulk unique,,,
UNC5C,O95185,UNC5C_HUMAN,Netrin receptor UNC5C,976459.379,,Bulk unique,,,
STBD1,O95210,STBD1_HUMAN,Starch-binding domain-containing protein 1,,201091.6834,Vessel unique,,,
APOL3,O95236,APOL3_HUMAN,Apolipoprotein L3,,1945522.223,Vessel unique,,,
KCNH1,O95259,KCNH1_HUMAN,Potassium voltage-gated channel subfamily H member 1,1198841.563,,Bulk unique,,,
ABCB11,O95342,ABCBB_HUMAN,Bile salt export pump,,8674292.656,Vessel unique,,,
TACC2,O95359,TACC2_HUMAN,Transforming acidic coiled-coil-containing protein 2,607221.4457,,Bulk unique,,,
TRIM16,O95361,TRI16_HUMAN,Tripartite motif-containing protein 16,,208318.6904,Vessel unique,,,
ZFYVE9,O95405,ZFYV9_HUMAN,Zinc finger FYVE domain-containing protein 9,41278.33954,,Bulk unique,,,
SVIL,O95425,SVIL_HUMAN,Supervillin,,495220.9316,Vessel unique,,,
BAG4,O95429,BAG4_HUMAN,BAG family molecular chaperone regulator 4,759338.2214,,Bulk unique,,,
GJB6,O95452,CXB6_HUMAN,Gap junction beta-6 protein,703947.5724,,Bulk unique,,,
PSMG1,O95456,PSMG1_HUMAN,Proteasome assembly chaperone 1,307008.1654,,Bulk unique,,,
SLC2A10,O95528,GTR10_HUMAN,"Solute carrier family 2, facilitated glucose transporter member 10",122190.6152,,Bulk unique,,,
NADK,O95544,NADK_HUMAN,NAD kinase,237391.0456,,Bulk unique,,,
POLR1A,O95602,RPA1_HUMAN,DNA-directed RNA polymerase I subunit RPA1,,215259.4209,Vessel unique,,,
PCNT,O95613,PCNT_HUMAN,Pericentrin,2015063.032,,Bulk unique,,,
CNOT4,O95628,CNOT4_HUMAN,CCR4-NOT transcription complex subunit 4,495075.4744,,Bulk unique,,,
PTBP3,O95758,PTBP3_HUMAN,Polypyrimidine tract-binding protein 3,,796198.9677,Vessel unique,,,
RIGI,O95786,RIGI_HUMAN,Antiviral innate immune response receptor RIG-I,,548762.6796,Vessel unique,,,
DLGAP3,O95886,DLGP3_HUMAN,Disks large-associated protein 3,182538.3881,,Bulk unique,,,
SYF2,O95926,SYF2_HUMAN,Pre-mRNA-splicing factor SYF2,,311996.237,Vessel unique,,,
F12,P00748,FA12_HUMAN,Coagulation factor XII,115235.9092,,Bulk unique,,,
CD4,P01730,CD4_HUMAN,T-cell surface glycoprotein CD4,,56831.50341,Vessel unique,,,
HLA-DQB1,P01920,DQB1_HUMAN,"HLA class II histocompatibility antigen, DQ beta 1 chain",,443865.283,Vessel unique,,,
MT-ND3,P03897,NU3M_HUMAN,NADH-ubiquinone oxidoreductase chain 3,234066.1956,,Bulk unique,,,
PROC,P04070,PROC_HUMAN,Vitamin K-dependent protein C,,307421.7768,Vessel unique,,,
ALDOB,P05062,ALDOB_HUMAN,Fructose-bisphosphate aldolase B,115687.5462,,Bulk unique,,,
CRYGD,P07320,CRGD_HUMAN,Gamma-crystallin D,401851.8333,,Bulk unique,,,
CSF1R,P07333,CSF1R_HUMAN,Macrophage colony-stimulating factor 1 receptor,520962.0237,,Bulk unique,,,
CHRM2,P08172,ACM2_HUMAN,Muscarinic acetylcholine receptor M2,118640.6917,,Bulk unique,,,
CHRM4,P08173,ACM4_HUMAN,Muscarinic acetylcholine receptor M4,819914.9807,,Bulk unique,,,
HMBS,P08397,HEM3_HUMAN,Porphobilinogen deaminase,773523.7146,,Bulk unique,,,
C4A,P0C0L4,CO4A_HUMAN,Complement C4-A,1485777.446,,Bulk unique,,,
TFPT,P0C1Z6,TFPT_HUMAN,TCF3 fusion partner,,140306.9374,Vessel unique,,,
ELFN1,P0C7U0,ELFN1_HUMAN,Protein ELFN1,298842.1936,,Bulk unique,,,
JMJD7,P0C870,JMJD7_HUMAN,Bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7,1910964.681,,Bulk unique,,,
F5,P12259,FA5_HUMAN,Coagulation factor V,,409957.4418,Vessel unique,,,
RLBP1,P12271,RLBP1_HUMAN,Retinaldehyde-binding protein 1,314352.4629,,Bulk unique,,,
GP1BB,P13224,GP1BB_HUMAN,Platelet glycoprotein Ib beta chain,,1041850.042,Vessel unique,,,
C6,P13671,CO6_HUMAN,Complement component C6,176369.4871,,Bulk unique,,,
CEACAM1,P13688,CEAM1_HUMAN,Carcinoembryonic antigen-related cell adhesion molecule 1,,503686.5249,Vessel unique,,,
ENO3,P13929,ENOB_HUMAN,Beta-enolase,397103.0487,,Bulk unique,,,
GP9,P14770,GPIX_HUMAN,Platelet glycoprotein IX,,181603.1099,Vessel unique,,,
MMP9,P14780,MMP9_HUMAN,Matrix metalloproteinase-9,,980443.8576,Vessel unique,,,
ST6GAL1,P15907,SIAT1_HUMAN,"Beta-galactoside alpha-2,6-sialyltransferase 1",,178190.1026,Vessel unique,,,
NPR1,P16066,ANPRA_HUMAN,Atrial natriuretic peptide receptor 1,,201639.4922,Vessel unique,,,
PCSK2,P16519,NEC2_HUMAN,Neuroendocrine convertase 2,1342323.16,,Bulk unique,,,
CD36,P16671,CD36_HUMAN,Platelet glycoprotein 4,,856133.7734,Vessel unique,,,
ZNF22,P17026,ZNF22_HUMAN,Zinc finger protein 22,,780643.2349,Vessel unique,,,
BPI,P17213,BPI_HUMAN,Bactericidal permeability-increasing protein,,212326.9393,Vessel unique,,,
KCNA6,P17658,KCNA6_HUMAN,Potassium voltage-gated channel subfamily A member 6,1319047.152,,Bulk unique,,,
IGFBP2,P18065,IBP2_HUMAN,Insulin-like growth factor-binding protein 2,477526.2561,,Bulk unique,,,
GABRB1,P18505,GBRB1_HUMAN,Gamma-aminobutyric acid receptor subunit beta-1,628464.4423,,Bulk unique,,,
RHCE,P18577,RHCE_HUMAN,Blood group Rh(CE) polypeptide,,1116089.472,Vessel unique,,,
CHRM3,P20309,ACM3_HUMAN,Muscarinic acetylcholine receptor M3,270971.7875,,Bulk unique,,,
RAB3B,P20337,RAB3B_HUMAN,Ras-related protein Rab-3B,1643742.331,,Bulk unique,,,
PVALB,P20472,PRVA_HUMAN,Parvalbumin alpha,729790.6814,,Bulk unique,,,
MX2,P20592,MX2_HUMAN,Interferon-induced GTP-binding protein Mx2,,219451.9232,Vessel unique,,,
PZP,P20742,PZP_HUMAN,Pregnancy zone protein,297652.1572,,Bulk unique,,,
ABCB4,P21439,MDR3_HUMAN,Phosphatidylcholine translocator ABCB4,,6548997.023,Vessel unique,,,
CNR1,P21554,CNR1_HUMAN,Cannabinoid receptor 1,294102.2933,,Bulk unique,,,
C5AR1,P21730,C5AR1_HUMAN,C5a anaphylatoxin chemotactic receptor 1,,366740.4379,Vessel unique,,,
ERBB3,P21860,ERBB3_HUMAN,Receptor tyrosine-protein kinase erbB-3,391651.5126,,Bulk unique,,,
KCNA3,P22001,KCNA3_HUMAN,Potassium voltage-gated channel subfamily A member 3,3101811.351,,Bulk unique,,,
ENPP1,P22413,ENPP1_HUMAN,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,,119490.1129,Vessel unique,,,
KCNA4,P22459,KCNA4_HUMAN,Potassium voltage-gated channel subfamily A member 4,1259782.477,,Bulk unique,,,
EVI2A,P22794,EVI2A_HUMAN,Protein EVI2A,19290781.9,,Bulk unique,,,
HRC,P23327,SRCH_HUMAN,Sarcoplasmic reticulum histidine-rich calcium-binding protein,,2097077.975,Vessel unique,,,
MCC,P23508,CRCM_HUMAN,Colorectal mutant cancer protein,,256045.1275,Vessel unique,,,
RRM1,P23921,RIR1_HUMAN,Ribonucleoside-diphosphate reductase large subunit,274597.3867,,Bulk unique,,,
GPT,P24298,ALAT1_HUMAN,Alanine aminotransferase 1,1543730.618,,Bulk unique,,,
KDELR1,P24390,ERD21_HUMAN,ER lumen protein-retaining receptor 1,,793220.6364,Vessel unique,,,
NR2F2,P24468,COT2_HUMAN,COUP transcription factor 2,,773305.3988,Vessel unique,,,
IGFBP6,P24592,IBP6_HUMAN,Insulin-like growth factor-binding protein 6,204319.8217,,Bulk unique,,,
PRKCH,P24723,KPCL_HUMAN,Protein kinase C eta type,,439364.8273,Vessel unique,,,
APC,P25054,APC_HUMAN,Adenomatous polyposis coli protein,445491.6645,,Bulk unique,,,
MPZ,P25189,MYP0_HUMAN,Myelin protein P0,1079744.902,,Bulk unique,,,
CHML,P26374,RAE2_HUMAN,Rab proteins geranylgeranyltransferase component A 2,877254.7081,,Bulk unique,,,
IL3RA,P26951,IL3RA_HUMAN,Interleukin-3 receptor subunit alpha,,1008294.962,Vessel unique,,,
COL8A1,P27658,CO8A1_HUMAN,Collagen alpha-1(VIII) chain,,131001.0381,Vessel unique,,,
DCK,P27707,DCK_HUMAN,Deoxycytidine kinase,275914.7683,,Bulk unique,,,
PDE4A,P27815,PDE4A_HUMAN,"3',5'-cyclic-AMP phosphodiesterase 4A",124894.7511,,Bulk unique,,,
HLA-DMB,P28068,DMB_HUMAN,"HLA class II histocompatibility antigen, DM beta chain",,73086.27397,Vessel unique,,,
HTR1B,P28222,5HT1B_HUMAN,5-hydroxytryptamine receptor 1B,277138.7931,,Bulk unique,,,
HTR2A,P28223,5HT2A_HUMAN,5-hydroxytryptamine receptor 2A,618942.8052,,Bulk unique,,,
ITPRID2,P28290,ITPI2_HUMAN,Protein ITPRID2,,451810.0489,Vessel unique,,,
TEAD1,P28347,TEAD1_HUMAN,Transcriptional enhancer factor TEF-1,,544360.6041,Vessel unique,,,
GTF2E1,P29083,T2EA_HUMAN,General transcription factor IIE subunit 1,,167910.8117,Vessel unique,,,
ADORA2A,P29274,AA2AR_HUMAN,Adenosine receptor A2a,,180230.6334,Vessel unique,,,
OAS2,P29728,OAS2_HUMAN,2'-5'-oligoadenylate synthase 2,,540139.2659,Vessel unique,,,
PBLD,P30039,PBLD_HUMAN,Phenazine biosynthesis-like domain-containing protein,2043769.248,,Bulk unique,,,
FCER1G,P30273,FCERG_HUMAN,High affinity immunoglobulin epsilon receptor subunit gamma,,125749.6324,Vessel unique,,,
TM4SF1,P30408,T4S1_HUMAN,Transmembrane 4 L6 family member 1,,605031.4235,Vessel unique,,,
ADORA1,P30542,AA1R_HUMAN,Adenosine receptor A1,601028.0924,,Bulk unique,,,
FMO4,P31512,FMO4_HUMAN,Dimethylaniline monooxygenase [N-oxide-forming] 4,,163757.8674,Vessel unique,,,
GABRA5,P31644,GBRA5_HUMAN,Gamma-aminobutyric acid receptor subunit alpha-5,337441.5912,,Bulk unique,,,
GBP2,P32456,GBP2_HUMAN,Guanylate-binding protein 2,,356039.0632,Vessel unique,,,
SSTR3,P32745,SSR3_HUMAN,Somatostatin receptor type 3,115727.3883,,Bulk unique,,,
GTF2H1,P32780,TF2H1_HUMAN,General transcription factor IIH subunit 1,,329909.6661,Vessel unique,,,
DSG3,P32926,DSG3_HUMAN,Desmoglein-3,,463260.8071,Vessel unique,,,
ICAM3,P32942,ICAM3_HUMAN,Intercellular adhesion molecule 3,,570995.778,Vessel unique,,,
ABCD1,P33897,ABCD1_HUMAN,ATP-binding cassette sub-family D member 1,,260679.9474,Vessel unique,,,
MAN1A1,P33908,MA1A1_HUMAN,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",,174866.8064,Vessel unique,,,
CA8,P35219,CAH8_HUMAN,Carbonic anhydrase-related protein,1411922.695,,Bulk unique,,,
PCGF2,P35227,PCGF2_HUMAN,Polycomb group RING finger protein 2,,160393.4979,Vessel unique,,,
